OBJECTID,INDEXKEY,STREET_NAME,ODD_LOW,ODD_HIGH,EVEN_LOW,EVEN_HIGH,LANES,CLASS,SPEED,Truck_Route,Name,Weight_res,Prefix,key2008,OneWay,Owner,Year_,Type,Inside_Outside_City,Total_Lane_Length,Prov_HGY,Designation,CityResponsibility,BlockPartyPermitted,RightofWayOwner,Priority,LEFT_LOW,LEFT_HIGH,RIGHT_LOW,RIGHT_HIGH,OK,Shape__Length
475,S084802,Jewett Street,165,195,168,182,2,Residential,50 Km\hr,Not a Truck Route,Jewett,Local,Rue,S084802,No,City,1976,Through Street,,194.7281,,,,No,,,165,195,168,182,Y,97.3640568981101
476,S084801,Jewett Street,99,159,98,148,2,Residential,50 Km\hr,Not a Truck Route,Jewett,Local,Rue,S084801,No,City,1978,Through Street,,478.8674,,,,No,,,99,159,98,148,Y,239.433693826619
477,S089104,Sunset Drive,95,131,96,140,2,Major Collector,50 Km\hr,Not a Truck Route,Sunset,60% - City Bylaw,Promenade,S089104,No,City,1950,Through Street,,987.0385,,,,No,Yes,1,95,131,96,140,Y,493.519230088928
478,S086801,Ferris Street,1,59,40,70,2,Residential,50 Km\hr,Not a Truck Route,Ferris ,Local,Rue,S086801,No,City,1991,Through Street,,518.871,,,,Yes,,,1,59,40,70,Y,259.423542020816
479,S089102,Sunset Drive,,,,,2,Major Collector,50 Km\hr,Not a Truck Route,Sunset,60% - City Bylaw,Promenade,S089102,No,City,1991,Through Street,,88.68214,,,,No,Yes,1,,,,,Y,44.3410712029926
480,S089103,Sunset Drive,,,,,2,Major Collector,50 Km\hr,Not a Truck Route,Sunset,60% - City Bylaw,Promenade,S089103,No,City,1950,Through Street,,46.32603,,,,No,Yes,1,,,,,Y,23.163014793852
481,S089103,Sunset Drive,69,91,54,92,2,Major Collector,50 Km\hr,Not a Truck Route,Sunset,60% - City Bylaw,Promenade,S089103,No,City,1950,Through Street,,512.5083,,,,No,Yes,1,69,91,54,92,Y,256.254136620658
482,S093901,Jasper Court,19,19,,,2,Residential,50 Km\hr,Not a Truck Route,Jasper,Local,Cour,S093901,No,City,1964,Through Street,,157.7954,,,,Yes,,,,,19,19,Y,78.8976990032624
483,S092903,McGregor Street,,,206,216,2,Residential,50 Km\hr,Not a Truck Route,McGregor ,Local,Rue,S092903,No,City,1998,Dead End,,82.7475,,,,Yes,,,,,206,216,Y,41.373748082669
484,S094001,Merrithew Avenue,,,10,80,2,Residential,50 Km\hr,Not a Truck Route,Merrithew,Local,Avenue,S094001,No,City,1961,Not a through street,,456.5925,,,,Yes,,,,,10,80,Y,228.25585396725
