X,Y,OBJECTID,Location,Type,Date,Info,NoCrossings,CrSide,Number,CivicNo,Street,NumberCrossing,Sharing,History
-66.653821557929291,45.958589627090149,250,Argyle @ Lawrence Close,,,,,,3,,,,,
-66.655598737007125,45.959396603888607,251,Smythe @ Argyle,,,,,,3,,,,,
-66.654850370131101,45.960314144505887,252,Smythe @ Aberdeen,,,,,,3,,,,,
-66.652526483436915,45.959305541304552,253,Northumberland @ Aberdeen,,,,,,4,,,,,
-66.653285293101362,45.96214930278564,254,Smythe @ Charlotte,,,,,,4,,,,,
-66.652451677156776,45.963126455518591,255,Smythe @ George,,,,,,3,,,,,
-66.650876151785937,45.961188392444377,256,Northumberland @ George,,,,,,4,,,,,
-66.651938538571429,45.956509158492281,257,Westmorland @ Victoria,,,,,,4,,,,,
-66.651070623364959,45.957403027830026,258,Westmorland @ Argyle,,,,,,4,,,,,
-66.65023697505876,45.95835636038322,259,Westmorland @ Aberdeen,,,,,,4,,,,,
-66.648654893514205,45.960250991953465,260,Westmorland @ Charlotte,,,,,,4,,,,,
-66.646365349345942,45.959277927016785,261,York @ Charlotte,,,,,,4,,,,,
-66.647045925416734,45.958491461095548,262,York @ Needham,,,,,,3,,,,,
-66.647199109912464,45.958336526403862,263,York @ Saunders,,,,,,3,,,,,
-66.648815382893332,45.956465675369508,264,York @ Argyle,,,,,,3,,,,,
-66.649615025641396,45.955560010308979,265,York @ Victoria,,,,,,3,,,,,
-66.6512653302226,45.953712885365725,266,York @ Connaught,,,,,,3,,,,,
-66.653289290495465,45.951270089967686,267,York @ Edinburgh,,,,,,3,,,,,
-66.655466440862185,45.948755631584412,268,York @ Oxford,,,,,,3,,,,,
-66.65522014501795,45.946113532279909,269,Montgomery @ Mitchell,,,,,,3,,,,,
-66.654109589485614,45.945579414057811,270,Montgomery @ Pederson,,,,,,3,,,,,
-66.654591458104775,45.947054715351975,271,Mitchell @ Kaley,,,,,,3,,,,,
-66.653318340508989,45.949437010248296,272,Mitchell @ Squires,,,,,,3,,,,,
-66.652808372718923,45.950139965740412,273,Kings College @ Mitchelle,,,,,,4,,,,,
-66.651851724171507,45.949748451906416,274,Kings College @ Palmer,,,,,,3,,,,,
-66.651048693662318,45.949368629723871,275,King College @ Reid,,,,,,4,,,,,
-66.650095977766441,45.950417342466459,276,Reid @ Chestnut,,,,,,3,,,,,
-66.646674092535832,45.953421326354835,277,Dundonald @ Beaverbrook/Colter,,,,,,4,,,,,
-66.645692357369072,45.956469717951741,278,Carlton @ Aberdeen,,,,,,3,,,,,
-66.644790707353408,45.957554028932222,279,Carlton @ Needham,,,,,,4,,,,,
-66.644144120088654,45.958292826753741,280,Carleton @ Charlotte,,,,,,4,,,,,
-66.643412707402803,45.95923407596726,281,Carleton @ George,,,,,,3,,,,,
-66.644437881504032,45.959685086883304,282,George @ Sunbury,,,,,,3,,,,,
-66.6436381871507,45.960626424986863,283,Brunswick @ Sunbury,,,,,,2,,,,,
-66.64253578155612,45.956699871304309,284,Regent @ Needham,,,,,,3,,,,,
-66.64401561126931,45.954817356454761,285,Regent @ Scully,,,,,,3,,,,,
-66.650650434150862,45.94723854623836,286,Regent @ Reid,,,,,,3,,,,,
